trial_id,success,blocking_collision,minor_contact,timeout,time_s,trajectory_length_m,angular_std,safety_triggers
1,0,0,1,1,160.1,14.418,0.7328,52
2,1,0,1,0,79.5,11.298,0.3479,5
3,1,0,1,0,46.5,9.213,0.3771,8
4,1,0,1,0,39.0,7.409,0.4573,3
6,0,0,1,1,160.1,10.673,0.8732,47
8,1,0,1,0,51.59,9.213,0.4748,10
