trial_id,success,blocking_collision,minor_contact,timeout,time_s,trajectory_length_m,angular_std,safety_triggers
1,1,0,1,0,28.6,7.084,0.4562,13
2,1,0,0,0,33.4,6.965,0.4326,18
3,0,0,1,1,160.0,26.19,0.5959,110
4,0,1,0,1,160.0,15.389,0.1605,4
5,1,0,1,0,36.1,6.895,0.4489,12
