trial_id,success,blocking_collision,minor_contact,timeout,time_s,trajectory_length_m,angular_std,safety_triggers
1,1,0,1,0,53.6,8.538,0.4943,0
2,0,1,0,1,160.0,21.042,0.4317,38
3,1,0,1,0,55.8,8.341,0.441,0
5,1,0,1,0,64.1,8.996,0.4708,8
7,1,0,1,0,37.4,5.8,0.539,0
8,1,0,1,0,56.2,9.469,0.4304,22
10,1,0,1,0,72.3,10.447,0.5156,26
