trial_id,success,blocking_collision,minor_contact,timeout,time_s,trajectory_length_m,angular_std,safety_triggers
1,1,0,0,0,10.69,1.815,0.451,0
2,1,0,0,0,11.1,1.89,0.5473,0
3,1,0,0,0,10.5,2.026,0.5833,0
4,1,0,0,0,13.4,1.856,0.557,0
5,1,0,0,0,16.7,2.515,0.6119,0
6,1,0,0,0,13.0,2.022,0.5914,0
7,1,0,0,0,14.8,2.278,0.5777,0
